_id,consulta,respuesta.nombre,respuesta.posicion,respuesta.altura_metros,respuesta.peso_libras,respuesta.equipo_id,respuesta.estadisticas,respuesta.nombre_equipo,respuesta.abreviacion_equipo,respuesta.ciudad_equipo,respuesta.conferencia_equipo,respuesta.division_equipo,respuesta.partidos_jugados,respuesta.minutos_jugados_promedio_por_partido,respuesta.canasta_encestada_promedio_por_partido,respuesta.tiro_3puntos_encestados_promedio_por_partido,respuesta.tiros_libres_encestados_promedio_por_partido,respuesta.rebotes_ofensivos_promedio_por_partido,respuesta.rebotes_defensivos_promedio_por_partido,respuesta.asistencias_promedio_por_partido,respuesta.recuperacion_balon_promedio_por_partido,respuesta.tiros_taponados_promedio_por_partido,respuesta.perdida_balon_promedio_por_partido,respuesta.faltas_personales_promedio_por_partido,respuesta.puntos_anotados_promedio_por_partido,respuesta.porcentaje_tiros_encestados
64e619299d80c6f3e1d0b1a2,de'anthony melton,De'Anthony Melton,Base y Escolta,1.93,200,23,,Philadelphia 76ers,PHI,Philadelphia,East,Atlantic,77,27:55,3.6,2.04,0.9,0.9,3.16,2.56,1.64,0.53,1.32,2.48,10.13,0.425
64e6192a9d80c6f3e1d0b1a3,robert covington,Robert Covington,Alero,2.06,225,13,,LA Clippers,LAC,LA,West,Pacific,48,16:12,2.13,1.13,0.63,0.65,2.81,1.19,0.79,0.69,0.67,1.79,6,0.445
64e6192c9d80c6f3e1d0b1a4,joe harris,Joe Harris,Alero y Base,1.98,218,3,,Brooklyn Nets,BKN,Brooklyn,East,Atlantic,74,20:37,2.72,1.92,0.24,0.31,1.91,1.36,0.46,0.18,0.55,1.89,7.59,0.457
64e6192d9d80c6f3e1d0b1a5,brook lopez,Brook Lopez,Pívot,2.13,270,17,,Milwaukee Bucks,MIL,Milwaukee,East,Central,78,30:23,6.12,1.74,1.91,2.01,4.65,1.27,0.46,2.47,1.37,2.6,15.88,0.531
64e6192f9d80c6f3e1d0b1a6,seth curry,Seth Curry,Base y Escolta,1.88,185,3,,Brooklyn Nets,BKN,Brooklyn,East,Atlantic,61,19:52,3.41,1.54,0.84,0.21,1.43,1.62,0.59,0.11,0.84,1.57,9.2,0.463
64e619309d80c6f3e1d0b1a7,davis bertans,Davis Bertans,Alero,2.08,225,7,,Dallas Mavericks,DAL,Dallas,West,Southwest,45,10:50,1.53,1.22,0.29,0.22,0.96,0.47,0.24,0.18,0.2,1.18,4.58,0.431
64e619319d80c6f3e1d0b1a8,kyle anderson,Kyle Anderson,Alero,2.06,230,18,,Minnesota Timberwolves,MIN,Minnesota,West,Northwest,71,28:36,3.68,0.66,1.42,0.96,4.38,4.96,1.15,0.96,1.55,2.15,9.44,0.504
64e619339d80c6f3e1d0b1a9,derrick favors,Derrick Favors,Alero y Pivot,2.08,265,1,No se dispone de las estadisticas de este jugador en la temporada actual,Atlanta Hawks,ATL,Atlanta,East,Southeast,,,,,,,,,,,,,,
64e619349d80c6f3e1d0b1aa,cody zeller,Cody Zeller,Pívot,2.13,240,16,,Miami Heat,MIA,Miami,East,Southeast,16,13:48,2.38,0,1.5,1.75,2.44,0.63,0.19,0.25,0.88,2.13,6.25,0.603
64e619359d80c6f3e1d0b1ab,jae crowder,Jae Crowder,Alero,1.98,235,17,,Milwaukee Bucks,MIL,Milwaukee,East,Central,18,18:50,2.5,1.33,0.56,0.94,2.89,1.5,0.67,0.33,0.39,1.5,6.89,0.479
64e619379d80c6f3e1d0b1ac,jaren jackson jr.,Jaren Jackson Jr.,Alero y Pivot,2.11,242,15,,Memphis Grizzlies,MEM,Memphis,West,Southwest,63,28:24,6.6,1.59,3.83,1.71,5.05,0.95,1.03,3,1.7,3.6,18.62,0.506
64e619389d80c6f3e1d0b1ad,marcus smart,Marcus Smart,Base y Escolta,1.93,220,2,,Boston Celtics,BOS,Boston,East,Atlantic,61,32:06,4.1,1.89,1.44,0.75,2.38,6.26,1.52,0.38,2.34,2.82,11.52,0.415
64e619399d80c6f3e1d0b1ae,robert williams,Robert Williams III,Alero y Pivot,2.08,240,2,,Boston Celtics,BOS,Boston,East,Atlantic,35,23:25,3.63,0,0.71,2.97,5.37,1.43,0.63,1.37,0.97,1.94,7.97,0.747
64e6193b9d80c6f3e1d0b1af,aaron gordon,Aaron Gordon,Alero,2.06,220,8,,Denver Nuggets,DEN,Denver,West,Northwest,68,30:15,6.31,0.88,2.81,2.41,4.15,2.99,0.79,0.75,1.44,1.9,16.31,0.564
64e6193c9d80c6f3e1d0b1b0,wendell carter jr.,Wendell Carter Jr.,Alero,2.08,255,22,,Orlando Magic,ORL,Orlando,East,Southeast,57,29:38,5.65,1.4,2.53,2.11,6.61,2.32,0.53,0.58,1.86,2.79,15.23,0.525
64e6193e9d80c6f3e1d0b1b1,terrence ross,Terrence Ross,Alero y Base,2.01,206,24,,Phoenix Suns,PHX,Phoenix,West,Pacific,63,21:05,3.17,1.51,0.43,0.35,2.1,1.51,0.56,0.16,0.7,1.54,8.29,0.43
64e619419d80c6f3e1d0b1b2,jonathan isaac,Jonathan Isaac,Alero,2.08,210,22,,Orlando Magic,ORL,Orlando,East,Southeast,11,11:16,2,0.55,0.45,1.36,2.64,0.55,1.27,0.36,0.36,0.45,5,0.415
64e619439d80c6f3e1d0b1b3,evan fournier,Evan Fournier,Alero y Base,2.01,205,20,,New York Knicks,NYK,New York,East,Atlantic,27,17:00,2.07,1.3,0.67,0.15,1.67,1.33,0.59,0.11,0.81,1.7,6.11,0.337
64e619509d80c6f3e1d0b1b4,demar derozan,DeMar DeRozan,Base y Escolta,2.01,220,5,,Chicago Bulls,CHI,Chicago,East,Central,76,36:24,8.89,0.61,6.14,0.49,4.17,5.12,1.11,0.5,2.05,2.53,24.54,0.504
64e619529d80c6f3e1d0b1b5,lonnie walker iv,Lonnie Walker IV,Base y Escolta,1.96,205,14,,Los Angeles Lakers,LAL,Los Angeles,West,Pacific,56,23:08,4.21,1.63,1.63,0.25,1.7,1.14,0.54,0.3,0.82,1.27,11.68,0.448
64e619539d80c6f3e1d0b1b6,keldon johnson,Keldon Johnson,Alero,No se dispone de esta información,,27,,San Antonio Spurs,SAS,San Antonio,West,Southwest,63,32:48,7.98,2.13,3.89,0.89,4.16,2.9,0.73,0.17,2.13,1.98,21.98,0.452
64e619549d80c6f3e1d0b1b7,dejounte murray,Dejounte Murray,Base y Escolta,1.96,170,1,,Atlanta Hawks,ATL,Atlanta,East,Southeast,75,36:26,8.25,1.81,2.12,0.72,4.53,6.05,1.49,0.27,2.16,1.45,20.44,0.464
64e619569d80c6f3e1d0b1b8,jakob poeltl,Jakob Poeltl,Pívot,2.13,230,28,,Toronto Raptors,TOR,Toronto,East,Atlantic,73,26:38,5.37,0,1.64,3.26,5.79,2.74,0.9,1.21,1.78,2.71,12.38,0.63
64e619579d80c6f3e1d0b1b9,devonte' graham,Devonte' Graham,Base y Escolta,1.88,185,27,,San Antonio Spurs,SAS,San Antonio,West,Southwest,73,18:19,2.21,1.63,1.34,0.26,1.41,2.68,0.62,0.22,0.73,1.08,7.38,0.374
64e6195a9d80c6f3e1d0b1ba,lamelo ball,LaMelo Ball,Base y Escolta,No se dispone de esta información,,4,,Charlotte Hornets,CHA,Charlotte,East,Southeast,36,35:16,8.22,4,2.83,1.17,5.25,8.44,1.28,0.31,3.58,3.28,23.28,0.411
